Cx,Cy,a2
-13,-2,8
-9,1,-6
-8,2,-14
-5,5,-45
-1,7,-81
2,10,-101
5,13,-111
8,16,-116
10,17,-120
15,20,-126
18,22,-129
19,22,-130
23,26,-131
28,27,-136
32,29,-137
32,30,-136
37,31,-140
42,32,-142
46,34,-143
48,35,-143
53,36,-145
56,35,-147
62,38,-148
65,38,-149
68,39,-150
72,40,-150
78,41,-152
81,41,-153
83,41,-153
88,39,-156
93,42,-155
97,41,-157
98,40,-157
102,40,-158
107,39,-159
112,38,-161
114,39,-161
118,37,-162
122,37,-163
126,37,-163
129,35,-164
131,33,-165
137,31,-167
143,31,-167
144,30,-168
147,28,-169
152,27,-169
154,26,-170
157,24,-171
159,24,-171
162,20,-172
167,19,-173
170,18,-173
172,17,-174
174,13,-175
177,11,-176
183,8,-177
184,6,-178
184,5,-178
188,2,-179
191,0,180
194,-2,179
195,-5,178
198,-7,177
201,-11,176
203,-13,176
205,-14,176
206,-18,175
209,-22,173
212,-25,173
213,-27,172
215,-30,172
215,-34,171
219,-39,169
221,-40,169
221,-43,168
222,-47,168
225,-52,166
227,-54,166
229,-57,166
228,-62,164
230,-65,164
231,-69,163
232,-72,162
232,-75,162
233,-82,160
234,-86,159
235,-88,159
234,-92,158
234,-95,157
236,-100,157
236,-105,156
235,-106,155
235,-111,154
235,-115,153
233,-119,152
235,-122,152
234,-125,151
233,-131,150
232,-135,149
231,-137,149
231,-141,148
229,-146,147
228,-149,146
227,-153,146
226,-155,145
224,-160,144
223,-163,143
223,-165,143
220,-168,142
218,-173,141
216,-176,140
214,-180,139
212,-182,139
210,-184,138
207,-189,137
205,-191,137
205,-193,136
201,-196,135
197,-199,134
195,-203,133
192,-206,132
191,-207,132
186,-210,131
183,-214,130
179,-216,129
177,-217,129
173,-220,128
168,-223,126
167,-226,126
163,-225,125
160,-228,125
155,-231,123
151,-233,122
149,-234,122
144,-234,121
139,-236,120
136,-238,119
134,-239,119
130,-240,118
125,-240,117
120,-242,116
116,-243,115
112,-242,114
108,-242,114
103,-244,112
100,-244,112
97,-244,111
92,-243,110
86,-242,109
82,-243,108
79,-243,108
74,-242,107
70,-242,106
65,-241,105
61,-239,104
59,-238,103
54,-236,102
48,-235,101
46,-235,101
43,-234,100
39,-232,99
33,-230,98
30,-229,97
28,-227,97
22,-224,95
19,-222,94
18,-221,94
16,-219,94
12,-217,93
8,-213,92
4,-211,91
1,-209,90
0,-206,90
-5,-202,88
-7,-200,87
-11,-197,86
-12,-195,86
-14,-192,85
-18,-186,84
-20,-185,83
-22,-181,83
-25,-178,82
-28,-174,80
-32,-169,79
-34,-166,78
-35,-163,77
-37,-158,76
-40,-153,75
-42,-151,74
-42,-148,74
-43,-142,73
-45,-137,71
-47,-135,70
-47,-131,70
-49,-126,68
-49,-121,67
-50,-117,66
-50,-115,66
-49,-109,65
-51,-103,63
-51,-100,62
-50,-98,62
-50,-92,61
-50,-89,60
-50,-84,59
-50,-81,58
-49,-77,57
-48,-73,56
-47,-66,54
-46,-64,54
-46,-60,52
-44,-56,51
-43,-51,49
-42,-47,48
-40,-46,48
-39,-42,47
-37,-37,45
-35,-34,44
-34,-32,43
-32,-29,42
-29,-25,40
-27,-21,37
-27,-21,37
-25,-17,34
-22,-14,32
-19,-10,27
-18,-7,21
-16,-5,17
-12,-3,14
-9,1,-6
-7,4,-29
-6,4,-33
-3,7,-66
1,10,-95
5,13,-111
7,14,-116
9,16,-119
14,19,-126
19,23,-129
20,23,-131
24,25,-133
27,27,-135
33,29,-138
36,31,-139
39,32,-140
44,34,-142
49,35,-144
54,36,-146
56,37,-146
62,38,-148
68,39,-150
71,40,-150
76,40,-152
80,40,-153
85,40,-154
91,41,-155
96,42,-156
100,40,-158
104,39,-159
110,39,-160
114,39,-161
117,39,-161
122,37,-163
127,35,-164
133,34,-165
135,33,-166
139,32,-167
144,29,-168
150,28,-169
153,26,-170
155,24,-171
160,23,-171
164,20,-173
168,18,-173
170,18,-173
174,12,-176
179,11,-176
181,8,-177
182,6,-178
187,3,-179
191,-1,179
194,-2,179
195,-5,178
197,-8,177
202,-13,176
205,-16,175
209,-19,174
208,-20,174
209,-25,173
213,-28,172
218,-33,171
220,-33,171
220,-38,170
223,-43,169
225,-47,168
226,-48,168
227,-52,167
229,-58,165
231,-62,164
232,-64,164
232,-69,163
233,-73,162
235,-78,161
235,-81,160
236,-84,160
236,-89,159
236,-94,158
236,-97,157
236,-101,156
236,-105,156
235,-111,154
236,-115,154
235,-118,153
234,-122,152
234,-128,151
234,-133,150
232,-135,149
230,-139,148
229,-143,148
229,-148,147
227,-152,146
226,-155,145
224,-159,144
223,-164,143
220,-167,142
219,-170,142
216,-173,141
215,-179,140
213,-181,139
210,-183,138
208,-187,138
206,-192,137
202,-195,136
201,-198,135
197,-200,134
193,-204,133
190,-207,132
188,-210,131
185,-211,131
182,-215,130
178,-218,129
174,-219,128
173,-221,128
168,-223,126
165,-226,126
160,-228,125
158,-229,124
154,-230,123
149,-233,122
145,-235,121
143,-236,121
138,-238,120
133,-239,119
128,-241,117
125,-241,117
122,-241,116
115,-241,115
110,-243,114
107,-243,113
104,-243,113
98,-244,111
92,-244,110
87,-244,109
85,-243,109
80,-244,108
74,-242,107
70,-242,106
68,-241,105
62,-240,104
57,-238,103
52,-238,102
48,-235,101
45,-235,100
40,-232,99
35,-230,98
30,-229,97
28,-226,97
24,-225,96
18,-222,94
15,-220,93
13,-217,93
7,-213,91
3,-211,90
-1,-207,89
-3,-206,89
-6,-202,88
-10,-198,87
-15,-193,85
-16,-191,85
-18,-188,84
-22,-183,83
-26,-179,81
-27,-176,81
-29,-173,80
-32,-168,79
-35,-162,77
-37,-160,76
-38,-157,76
-40,-151,75
-43,-145,73
-45,-141,72
-44,-137,72
-47,-133,70
-48,-128,69
-48,-121,68
-49,-118,67
-49,-113,66
-50,-108,65
-50,-103,64
-50,-99,63
-51,-96,62
-51,-89,60
-49,-83,59
-49,-79,58
-47,-77,58
-46,-72,57
-46,-66,55
-44,-63,55
-43,-60,54
-42,-54,52
-40,-49,50
-39,-45,49
-38,-43,48
-36,-39,47
-33,-35,46
-31,-31,45
-29,-27,42
-28,-26,42
-26,-21,38
-22,-17,37
-24,-13,28
-22,-13,30
-18,-9,26
-15,-6,21
-13,-3,12
-10,-1,5
-8,2,-14
-6,5,-39
-2,7,-74
0,8,-90
3,10,-106
5,13,-111
9,16,-119
11,17,-122
13,18,-125
16,19,-130
19,22,-130
22,24,-132
23,25,-132
26,25,-136
29,28,-136
33,29,-138
36,30,-140
37,30,-140
40,32,-141
45,33,-143
46,34,-143
48,33,-145
51,35,-145
55,37,-146
56,36,-147
58,37,-147
61,37,-148
66,39,-149
67,39,-149
68,38,-150
71,40,-150
72,39,-151
78,40,-152
78,40,-152
81,39,-154
83,41,-153
87,40,-155
87,40,-155
89,39,-156
92,41,-155
95,41,-156
96,41,-156
97,40,-157
101,39,-158
104,41,-158
105,41,-158
106,39,-159
107,38,-160
111,39,-160
113,39,-160
114,38,-161
114,37,-162
117,37,-162
120,37,-162
120,38,-162
